page_id,url,raw_html_path,processed_text_path,extraction_status
1,https://en.wikipedia.org/wiki/2024_Formula_One_World_Championship,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\raw\seed_page_1.html,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\processed\seed_page_1.txt,ok
2,https://en.wikipedia.org/wiki/2023_Formula_One_World_Championship,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\raw\seed_page_2.html,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\processed\seed_page_2.txt,ok
3,https://en.wikipedia.org/wiki/Lewis_Hamilton,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\raw\seed_page_3.html,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\processed\seed_page_3.txt,ok
4,https://en.wikipedia.org/wiki/Max_Verstappen,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\raw\seed_page_4.html,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\processed\seed_page_4.txt,ok
5,https://en.wikipedia.org/wiki/Scuderia_Ferrari,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\raw\seed_page_5.html,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\processed\seed_page_5.txt,ok
6,https://en.wikipedia.org/wiki/Mercedes-AMG_Petronas_F1_Team,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\raw\seed_page_6.html,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\processed\seed_page_6.txt,ok
7,https://en.wikipedia.org/wiki/McLaren_F1_Team,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\raw\seed_page_7.html,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\processed\seed_page_7.txt,ok
8,https://en.wikipedia.org/wiki/2024_Monaco_Grand_Prix,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\raw\seed_page_8.html,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\processed\seed_page_8.txt,ok
9,https://en.wikipedia.org/wiki/Formula_One_constructors%27_championship,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\raw\seed_page_9.html,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\processed\seed_page_9.txt,ok
10,https://en.wikipedia.org/wiki/List_of_Formula_One_World_Drivers%27_Champions,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\raw\seed_page_10.html,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\processed\seed_page_10.txt,ok
11,https://www.formulaonehistory.com/seasons/,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\raw\seed_page_11.html,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\processed\seed_page_11.txt,ok
12,https://www.formulaonehistory.com/category/history/grand-prix-winners/,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\raw\seed_page_12.html,C:\Users\paula\Documents\Cours\A4\S2\WebData\Project\f1_semantic_web_project\data\processed\seed_page_12.txt,ok
